Loading model: chatgpt-oss-20b.safetensors (fmt=safetensors)
Prompt: Simulation 3: chatgpt-oss 20B
Step 184: token=60, lp=0.600001
Step 185: token=60, lp=0.600001
Step 186: token=60, lp=0.600001
Step 187: token=60, lp=0.600001
Step 188: token=60, lp=0.600001
Step 189: token=60, lp=0.600001
Step 190: token=60, lp=0.600001
Step 191: token=60, lp=0.600001
Step 192: token=60, lp=0.600001
Step 193: token=60, lp=0.600001
Step 194: token=60, lp=0.600001
Step 195: token=60, lp=0.600001
Step 196: token=60, lp=0.600001
Step 197: token=60, lp=0.600001
Step 198: token=60, lp=0.600001
Step 199: token=60, lp=0.600001
Step 200: token=60, lp=0.600001
Step 201: token=60, lp=0.600001
Step 202: token=60, lp=0.600001
Step 203: token=60, lp=0.600001
Step 204: token=60, lp=0.600001
Step 205: token=60, lp=0.600001
Step 206: token=60, lp=0.600001
Step 207: token=60, lp=0.600001
Step 208: token=60, lp=0.600001
Step 209: token=60, lp=0.600001
Step 210: token=60, lp=0.600001
Step 211: token=60, lp=0.600001
Step 212: token=60, lp=0.600001
Step 213: token=60, lp=0.600001
Step 214: token=60, lp=0.600001
Step 215: token=60, lp=0.600001
Step 216: token=60, lp=0.600001
Step 217: token=60, lp=0.600001
Step 218: token=60, lp=0.600001
Step 219: token=60, lp=0.600001
Step 220: token=60, lp=0.600001
Step 221: token=60, lp=0.600001
Step 222: token=60, lp=0.600001
Step 223: token=60, lp=0.600001
Step 224: token=60, lp=0.600001
Step 225: token=60, lp=0.600001
Step 226: token=60, lp=0.600001
Step 227: token=60, lp=0.600001
Step 228: token=60, lp=0.600001
Step 229: token=60, lp=0.600001
Step 230: token=60, lp=0.600001
Step 231: token=60, lp=0.600001
Step 232: token=60, lp=0.600001
Step 233: token=60, lp=0.600001
Step 234: token=60, lp=0.600001
Step 235: token=60, lp=0.600001
Step 236: token=60, lp=0.600001
Step 237: token=60, lp=0.600001
Step 238: token=60, lp=0.600001
Step 239: token=60, lp=0.600001
Step 240: token=60, lp=0.600001
Step 241: token=60, lp=0.600001
Step 242: token=60, lp=0.600001
Step 243: token=60, lp=0.600001
Step 244: token=60, lp=0.600001
Step 245: token=60, lp=0.600001
Step 246: token=60, lp=0.600001
Step 247: token=60, lp=0.600001
Step 248: token=60, lp=0.600001
Step 249: token=60, lp=0.600001
Step 250: token=60, lp=0.600001
Step 251: token=60, lp=0.600001
Step 252: token=60, lp=0.600001
Step 253: token=60, lp=0.600001
Step 254: token=60, lp=0.600001
Step 255: token=60, lp=0.600001
Step 256: token=60, lp=0.600001
Step 257: token=60, lp=0.600001
Step 258: token=60, lp=0.600001
Step 259: token=60, lp=0.600001
Step 260: token=60, lp=0.600001
Step 261: token=60, lp=0.600001
Step 262: token=60, lp=0.600001
Step 263: token=60, lp=0.600001
Step 264: token=60, lp=0.600001
Step 265: token=60, lp=0.600001
Step 266: token=60, lp=0.600001
Step 267: token=60, lp=0.600001
Step 268: token=60, lp=0.600001
Step 269: token=60, lp=0.600001
Step 270: token=60, lp=0.600001
Step 271: token=60, lp=0.600001
Step 272: token=60, lp=0.600001
Step 273: token=60, lp=0.600001
Step 274: token=60, lp=0.600001
Step 275: token=60, lp=0.600001
Step 276: token=60, lp=0.600001
Step 277: token=60, lp=0.600001
Step 278: token=60, lp=0.600001
Step 279: token=60, lp=0.600001
Step 280: token=60, lp=0.600001
Step 281: token=60, lp=0.600001
Step 282: token=60, lp=0.600001
Step 283: token=60, lp=0.600001
Step 284: token=60, lp=0.600001
Step 285: token=60, lp=0.600001
Step 286: token=60, lp=0.600001
Step 287: token=60, lp=0.600001
Step 288: token=60, lp=0.600001
Step 289: token=60, lp=0.600001
Step 290: token=60, lp=0.600001
Step 291: token=60, lp=0.600001
Step 292: token=60, lp=0.600001
Step 293: token=60, lp=0.600001
Step 294: token=60, lp=0.600001
Step 295: token=60, lp=0.600001
Step 296: token=60, lp=0.600001
Step 297: token=60, lp=0.600001
Step 298: token=60, lp=0.600001
Step 299: token=60, lp=0.600001
Step 300: token=60, lp=0.600001
Step 301: token=60, lp=0.600001
Step 302: token=60, lp=0.600001
Step 303: token=60, lp=0.600001
Step 304: token=60, lp=0.600001
Step 305: token=60, lp=0.600001
Step 306: token=60, lp=0.600001
Step 307: token=60, lp=0.600001
Step 308: token=60, lp=0.600001
Step 309: token=60, lp=0.600001
Step 310: token=60, lp=0.600001
Step 311: token=60, lp=0.600001
Step 312: token=60, lp=0.600001
Step 313: token=60, lp=0.600001
Step 314: token=60, lp=0.600001
Step 315: token=60, lp=0.600001
Step 316: token=60, lp=0.600001
Step 317: token=60, lp=0.600001
Step 318: token=60, lp=0.600001
Step 319: token=60, lp=0.600001
Step 320: token=60, lp=0.600001
Step 321: token=60, lp=0.600001
Step 322: token=60, lp=0.600001
Step 323: token=60, lp=0.600001
Step 324: token=60, lp=0.600001
Step 325: token=60, lp=0.600001
Step 326: token=60, lp=0.600001
Step 327: token=60, lp=0.600001
Step 328: token=60, lp=0.600001
Step 329: token=60, lp=0.600001
Step 330: token=60, lp=0.600001
Step 331: token=60, lp=0.600001
Step 332: token=60, lp=0.600001
Step 333: token=60, lp=0.600001
Step 334: token=60, lp=0.600001
Step 335: token=60, lp=0.600001
Step 336: token=60, lp=0.600001
Step 337: token=60, lp=0.600001
Step 338: token=60, lp=0.600001
Step 339: token=60, lp=0.600001
Step 340: token=60, lp=0.600001
Step 341: token=60, lp=0.600001
Step 342: token=60, lp=0.600001
Step 343: token=60, lp=0.600001
Step 344: token=60, lp=0.600001
Step 345: token=60, lp=0.600001
Step 346: token=60, lp=0.600001
Step 347: token=60, lp=0.600001
Step 348: token=60, lp=0.600001
Step 349: token=60, lp=0.600001
Step 350: token=60, lp=0.600001
Step 351: token=60, lp=0.600001
Step 352: token=60, lp=0.600001
Step 353: token=60, lp=0.600001
Step 354: token=60, lp=0.600001
Step 355: token=60, lp=0.600001
Step 356: token=60, lp=0.600001
Step 357: token=60, lp=0.600001
Step 358: token=60, lp=0.600001
Step 359: token=60, lp=0.600001
Step 360: token=60, lp=0.600001
Step 361: token=60, lp=0.600001
Step 362: token=60, lp=0.600001
Step 363: token=60, lp=0.600001
Step 364: token=60, lp=0.600001
Step 365: token=60, lp=0.600001
Step 366: token=60, lp=0.600001
Step 367: token=60, lp=0.600001
Step 368: token=60, lp=0.600001
Step 369: token=60, lp=0.600001
Step 370: token=60, lp=0.600001
Step 371: token=60, lp=0.600001
Step 372: token=60, lp=0.600001
Step 373: token=60, lp=0.600001
Step 374: token=60, lp=0.600001
Step 375: token=60, lp=0.600001
Step 376: token=60, lp=0.600001
Step 377: token=60, lp=0.600001
Step 378: token=60, lp=0.600001
Step 379: token=60, lp=0.600001
Step 380: token=60, lp=0.600001
Step 381: token=60, lp=0.600001
Step 382: token=60, lp=0.600001
Step 383: token=60, lp=0.600001
Step 384: token=60, lp=0.600001
Step 385: token=60, lp=0.600001
Step 386: token=60, lp=0.600001
Step 387: token=60, lp=0.600001
Step 388: token=60, lp=0.600001
Step 389: token=60, lp=0.600001
Step 390: token=60, lp=0.600001
Step 391: token=60, lp=0.600001
Step 392: token=60, lp=0.600001
Step 393: token=60, lp=0.600001
Step 394: token=60, lp=0.600001
Step 395: token=60, lp=0.600001
Step 396: token=60, lp=0.600001
Step 397: token=60, lp=0.600001
Step 398: token=60, lp=0.600001
Step 399: token=60, lp=0.600001
Step 400: token=60, lp=0.600001
Step 401: token=60, lp=0.600001
Step 402: token=60, lp=0.600001
Step 403: token=60, lp=0.600001
Step 404: token=60, lp=0.600001
Step 405: token=60, lp=0.600001
Step 406: token=60, lp=0.600001
Step 407: token=60, lp=0.600001
Step 408: token=60, lp=0.600001
Step 409: token=60, lp=0.600001
Step 410: token=60, lp=0.600001
Step 411: token=60, lp=0.600001
Step 412: token=60, lp=0.600001
Step 413: token=60, lp=0.600001
Step 414: token=60, lp=0.600001
Step 415: token=60, lp=0.600001
Step 416: token=60, lp=0.600001
